11656,1,0,4095,1,0,0,0,0,0
11756,1,0,4095,1,0,0,0,0,0
11856,1,0,4095,0,0,0,0,0,0
11956,1,0,4095,1,0,0,0,0,0
12056,1,83,4095,1,0,0,0,0,0
12156,1,0,4095,3,0,0,0,0,0
12256,1,0,4095,1,0,0,0,0,0
12356,1,0,4095,1,0,0,0,0,0
12456,1,0,4095,1,0,0,0,0,0
12556,1,0,4095,1,0,0,0,0,0
12656,1,0,4095,0,0,0,0,0,0
12756,1,26,4095,1,0,0,0,0,0
12856,1,0,4095,0,0,0,0,0,0
12956,1,89,4095,1,0,0,0,0,0
13056,1,0,4095,1,0,0,0,0,0
13156,1,0,4095,0,0,0,0,0,0
13256,1,39,4095,1,0,0,0,0,0
13356,1,0,4095,1,0,0,0,0,0
13456,1,10,4095,0,0,0,0,0,0
13556,1,0,4095,1,0,0,0,0,0
13656,1,0,4095,1,0,0,0,0,0
13756,1,0,4095,1,0,0,0,0,0
13856,1,0,4095,1,0,0,0,0,0
13956,1,0,4095,1,0,0,0,0,0
14056,1,0,4095,1,0,0,0,0,0
14156,1,0,4095,2,0,0,0,0,0
14256,1,0,4095,1,0,0,0,0,0
14356,1,0,4095,1,0,0,0,0,0
14456,1,0,4095,0,0,0,0,0,0
14556,1,0,4095,1,0,0,0,0,0
14656,1,0,4095,0,0,0,0,0,0
14756,1,0,4095,1,0,0,0,0,0
14856,1,0,4095,0,0,0,0,0,0
14956,1,18,4095,0,0,0,0,0,0
15056,1,0,4095,1,0,0,0,0,0
15156,1,0,4095,1,0,0,0,0,0
15256,1,83,4095,1,0,0,0,0,0
15356,1,69,4095,3,0,0,0,0,0
15456,1,0,4095,1,0,0,0,0,0
15556,1,0,4095,0,0,0,0,0,0
15656,1,0,4095,0,0,0,0,0,0
15756,1,86,4095,1,0,0,0,0,0
15856,1,0,4095,1,0,0,0,0,0
15956,1,0,4095,1,0,0,0,0,0
16056,1,0,4095,1,0,0,0,0,0
16156,1,0,4095,1,0,0,0,0,0
16256,1,0,4095,0,0,0,0,0,0
16356,1,0,4095,1,0,0,0,0,0
16456,1,79,4095,1,0,0,0,0,0
16556,1,0,4095,0,0,0,0,0,0
16656,1,0,4095,1,0,0,0,0,0
16756,1,0,4095,1,0,0,0,0,0
16856,1,0,4095,1,0,0,0,0,0
16956,1,0,4095,1,0,0,0,0,0
17056,1,86,4095,1,0,0,0,0,0
17156,1,0,4095,0,0,0,0,0,0
17256,1,82,4095,5,0,0,0,0,0
17356,1,0,4095,1,0,0,0,0,0
17456,1,0,4095,1,0,0,0,0,0
17556,1,83,4095,1,0,0,0,0,0
17656,1,0,4095,0,0,0,0,0,0
17756,1,0,4095,0,0,0,0,0,0
17856,1,0,4095,0,0,0,0,0,0
17956,1,0,4095,1,0,0,0,0,0
18056,1,0,4095,1,0,0,0,0,0
18156,1,0,4095,0,0,0,0,0,0
18256,1,0,4095,0,0,0,0,0,0
18356,1,83,4095,1,0,0,0,0,0
18456,1,0,4095,0,0,0,0,0,0
18556,1,87,4095,1,0,0,0,0,0
18656,1,0,4095,3,0,0,0,0,0
18756,1,82,4095,1,0,0,0,0,0
18856,1,0,4095,0,0,0,0,0,0
18956,1,74,4095,1,0,0,0,0,0
19056,1,0,4095,0,0,0,0,0,0
19156,1,0,4095,1,0,0,0,0,0
19256,1,0,4095,1,0,0,0,0,0
19356,1,0,4095,0,0,0,0,0,0
19456,1,0,4095,0,0,0,0,0,0
19556,1,0,4095,1,0,0,0,0,0
19656,1,0,4095,1,0,0,0,0,0
